City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Description
165,Luanda,86,AO,2022-07-27 19:20:54,90,-8.8368,13.2343,68.74,11.92,overcast clouds
166,Boddam,76,GB,2022-07-27 19:20:54,77,57.4667,-1.7833,57.58,5.97,broken clouds
167,Fort Nelson,40,CA,2022-07-27 19:19:11,53,58.8053,-122.7002,74.79,6.91,scattered clouds
168,San Cristobal,44,VE,2022-07-27 19:20:39,56,7.7669,-72.225,80.78,7.0,scattered clouds
169,Pyay,46,MM,2022-07-27 19:20:55,78,18.8167,95.2167,80.33,2.06,scattered clouds
170,North Bend,0,US,2022-07-27 19:16:10,88,43.4065,-124.2243,80.24,10.36,clear sky
171,Lorengau,53,PG,2022-07-27 19:20:56,77,-2.0226,147.2712,81.7,9.93,broken clouds
172,Tomatlan,97,MX,2022-07-27 19:20:56,50,19.9333,-105.25,91.74,7.54,overcast clouds
173,Santa Maria,0,BR,2022-07-27 19:20:30,69,-29.6842,-53.8069,76.3,3.44,clear sky
174,Prykolotne,100,UA,2022-07-27 19:20:57,57,50.1604,37.3474,73.2,3.6,overcast clouds
175,Constantine,0,DZ,2022-07-27 19:20:58,36,36.365,6.6147,81.81,6.91,clear sky
176,Clyde River,100,CA,2022-07-27 19:20:58,100,70.4692,-68.5914,41.23,4.61,light rain
177,Ayia Marina,0,GR,2022-07-27 19:20:58,67,37.75,23.5333,87.42,3.33,clear sky
178,Touros,4,BR,2022-07-27 19:20:59,71,-5.1989,-35.4608,80.1,16.24,moderate rain
179,Harper,100,LR,2022-07-27 19:20:59,80,4.375,-7.7169,75.27,11.83,overcast clouds
180,Pietermaritzburg,100,ZA,2022-07-27 19:21:00,87,-29.6168,30.3928,59.68,3.24,overcast clouds
181,Alta Floresta,0,BR,2022-07-27 19:21:00,23,-9.8756,-56.0861,96.62,4.61,clear sky
182,Molteno,84,ZA,2022-07-27 19:21:01,80,-31.3968,26.3625,49.12,4.54,light rain
183,Krasnoborsk,12,RU,2022-07-27 19:21:01,80,61.5598,45.934,62.92,5.7,few clouds
184,Tiksi,44,RU,2022-07-27 19:21:02,87,71.6872,128.8694,53.31,6.06,scattered clouds
185,Cedar City,0,US,2022-07-27 19:21:02,44,37.6775,-113.0619,80.4,0.0,clear sky
186,Nizhniy Kuranakh,5,RU,2022-07-27 19:21:03,79,58.8353,125.4869,61.47,2.17,clear sky
187,Mporokoso,56,ZM,2022-07-27 19:21:03,42,-9.3727,30.125,65.77,1.3,broken clouds
188,Castro,90,BR,2022-07-27 19:19:47,50,-24.7911,-50.0119,71.01,4.54,overcast clouds
189,Butaritari,0,KI,2022-07-27 19:21:04,75,3.0707,172.7902,81.39,17.18,light rain
190,Saint George,0,US,2022-07-27 19:18:37,41,37.1041,-113.5841,96.64,3.0,clear sky
191,Norman Wells,20,CA,2022-07-27 19:21:05,48,65.282,-126.8329,62.64,10.36,few clouds
192,Snihurivka,60,UA,2022-07-27 19:21:05,50,47.0758,32.8052,73.44,5.23,broken clouds
193,Ostrovnoy,100,RU,2022-07-27 19:21:06,80,68.0531,39.5131,64.18,19.3,overcast clouds
194,Marsh Harbour,5,BS,2022-07-27 19:21:06,69,26.5412,-77.0636,83.66,11.36,clear sky
195,Zhigalovo,100,RU,2022-07-27 19:21:07,96,54.8097,105.1578,55.51,6.44,light rain
196,Luwuk,100,ID,2022-07-27 19:21:08,92,-0.9516,122.7875,76.35,5.19,overcast clouds
197,Pacific Grove,75,US,2022-07-27 19:16:11,79,36.6177,-121.9166,75.81,8.05,broken clouds
198,Grand Gaube,19,MU,2022-07-27 19:21:08,73,-20.0064,57.6608,71.38,5.01,few clouds
199,Belyy Yar,0,RU,2022-07-27 19:21:09,77,53.6039,91.3903,57.09,2.24,clear sky
200,Bhatkal,99,IN,2022-07-27 19:21:09,88,13.9667,74.5667,79.61,6.62,moderate rain
201,Taltal,91,CL,2022-07-27 19:20:21,70,-25.4,-70.4833,64.56,6.17,overcast clouds
202,Katsuura,100,JP,2022-07-27 19:21:10,91,35.1333,140.3,79.02,13.6,overcast clouds
203,Lakatoro,76,VU,2022-07-27 19:21:11,82,-16.0999,167.4164,77.83,5.73,broken clouds
204,Gazanjyk,96,TM,2022-07-27 19:21:11,25,39.2446,55.5154,93.85,14.41,overcast clouds
205,Koshurnikovo,0,RU,2022-07-27 19:21:12,85,54.1667,93.3,47.17,3.47,clear sky
206,Salalah,100,OM,2022-07-27 19:21:12,94,17.0151,54.0924,77.09,6.91,haze
207,Hambantota,92,LK,2022-07-27 19:21:12,82,6.1241,81.1185,78.84,4.16,overcast clouds
208,High Level,75,CA,2022-07-27 19:21:13,68,58.5169,-117.136,71.71,5.75,smoke
209,Banihal,98,IN,2022-07-27 19:21:14,89,33.4167,75.2,67.71,2.55,overcast clouds
210,Mahibadhoo,100,MV,2022-07-27 19:21:14,74,3.7833,72.9667,82.51,16.06,overcast clouds
211,Mangrol,100,IN,2022-07-27 19:21:14,83,21.1167,70.1167,81.34,11.05,overcast clouds
212,Erzin,0,TR,2022-07-27 19:21:15,59,36.9559,36.2,78.21,2.39,clear sky
213,Lunenburg,100,CA,2022-07-27 19:21:15,64,44.3835,-64.3155,81.48,17.27,overcast clouds
214,Medvezhyegorsk,100,RU,2022-07-27 19:21:16,93,62.9167,34.4667,61.2,5.12,overcast clouds
215,San Quintin,56,MX,2022-07-27 19:21:16,67,30.4833,-115.95,73.9,12.93,broken clouds
216,Maues,96,BR,2022-07-27 19:21:17,46,-3.3836,-57.7186,90.14,0.22,overcast clouds
217,Nikolskoye,100,RU,2022-07-27 19:21:18,90,59.7035,30.7861,64.29,4.85,overcast clouds
218,Carbonia,0,IT,2022-07-27 19:21:18,69,39.1672,8.5222,83.05,10.2,clear sky
219,Andenes,75,NO,2022-07-27 19:21:18,87,69.3143,16.1194,49.98,17.27,broken clouds
220,Korla,98,CN,2022-07-27 19:21:19,21,41.7597,86.1469,86.36,14.85,overcast clouds
221,Port Shepstone,98,ZA,2022-07-27 19:21:19,76,-30.7414,30.455,66.45,11.01,overcast clouds
222,Thinadhoo,100,MV,2022-07-27 19:21:20,74,0.5333,72.9333,82.83,12.03,overcast clouds
223,Jalu,0,LY,2022-07-27 19:21:21,22,29.0331,21.5482,91.04,17.54,clear sky
224,Atar,0,MR,2022-07-27 19:21:22,11,20.5169,-13.0499,107.98,13.09,clear sky
225,Byron Bay,99,AU,2022-07-27 19:21:22,65,-28.65,153.6167,50.94,8.97,overcast clouds
226,Vilyuysk,7,RU,2022-07-27 19:21:22,72,63.7553,121.6247,64.8,5.84,clear sky
227,Abha,40,SA,2022-07-27 19:21:23,68,18.2164,42.5053,66.02,5.75,scattered clouds
228,Tirano,6,IT,2022-07-27 19:21:23,89,46.2154,10.1679,73.83,0.85,clear sky
229,Naze,99,JP,2022-07-27 19:21:24,84,28.3667,129.4833,76.12,17.76,heavy intensity rain
230,Kirkland Lake,100,CA,2022-07-27 19:21:24,56,48.1446,-80.0377,73.69,10.56,light rain
